Table,attribute,type,mandatory,default,unit,comment,,
v2_1d_boundary_conditions,,,,,,"Boundary condition for 1D connection nodes.
Boundaries can only be placed on nodes connected to a single channel or pipe.",,
,id,serial,*,,,Unique identifier,,
,,integer,*,,"1: m above datum
2: m/s
3: m3/s","Boundary type.
1: waterlevel boundary
2: velocity boundary
3: discharge boundary 
5: Sommerfeld boundary (waterlevel slope). 

For types 2, 3  and 5 the channel direction determines sign of the input value. If the boundary is placed on the channel endpoint, positive values mean for example water is being extracted from the model.",,
,connection_node_id,integer,*,,,Unique connection node id.,,
,timeseries,text,*,,"min,value
 min,value","Format:
 min,value
 min,value
Between time succesive lines values are interpolated. (note that during 1 timestep the values is still constant)
- Leave no trailing spaces or empty rows at the end of your file.
- Make sure there is no space between min,value
- In case of multiple boundaries in 1 model: make sure they all have the same number of timeseries rows with exactly the same temporal interval.
- In case of multiple boundaries in 1 model: also start- and end time of all timeseries must be the same.
- In QGIS it is not posible to directly type enter/newline characters into a table. To enter this format into spatialite you must either use a text editor to compose your timeseries through the field calculator using '\n' to add a new line.
",,
v2_1d_lateral,,,,,,Lateral for 1D connection nodes,,
,id,serial,*,,,Unique identifier,,
,connection_node_id,integer,*,,,Unique connection node id.,,
,timeseries,text,*,,"min,m3/s","Format:
 min,value
 min,value
Between time succesive lines values are interpolated. (note that during 1 timestep the values is still constant)
- Leave no trailing spaces or empty rows at the end of your file.
- Make sure there is no space between min,value
- In case of multiple laterals in 1 model: make sure they all have the same number of timeseries rows with exactly the same temporal interval.
- In case of multiple laterals in 1 model: also start- and end time of all timeseries must be the same.
- In QGIS it is not posible to directly type enter/newline characters into a table. To enter this format into spatialite you must either use a text editor to compose your timeseries through the field calculator using '\n' to add a new line.
",,
v2_2d_boundary_conditions,,,,,,Boundary condition for 2D model edge (must be on edge of DEM file),,
,id,serial,*,,-,Unique identifier,,
,boundary_type,integer,*,,"1: m above datum
2: m/s
3: m3/s
5: -","1: waterlevel boundary
2: velocity boundary
3: discharge boundary (discharge is per boundary cell)
5: Sommerfeld boundary (waterlevel slope)

schematisation requirements: 
- the boundary linestring must be placed on the edge of the DEM (outer calculation cells)
- the boundary linestring must intersect at least two calculation cells
- the complete boundary Linestring must be on on active edge (read: on data pixels). If (a part of) the boundary is on nodata pixels then the boundary is ignored
- the boundary linestring may be slightly skewed (maximum 6 pixels skewed). Thus, it must be either horizontal or vertical.
- the boundary also looks at the cross section area at the outside of the model (so the outer pixels at the dem) whether flow is possible",,
,display_name,text,*,,,"Name field, no constraints",,
,timeseries,text,*,,"min,value
min,value","Format:
 min,value
 min,value
Between time succesive lines values are interpolated. (note that during 1 timestep the values is still constant)
- Leave no trailing spaces or empty rows at the end of your file.
- Make sure there is no space between min,value
- In case of multiple boundaries in 1 model: make sure they all have the same number of timeseries rows with exactly the same temporal interval.
- In case of multiple boundaries in 1 model: also start- and end time of all timeseries must be the same.
- In QGIS it is not posible to directly type enter/newline characters into a table. To enter this format into spatialite you must either use a text editor to compose your timeseries through the field calculator using '\n' to add a new line.",,
v2_2d_lateral,,,,,,Lateral discharge for location on 2D,,
,id,serial,*,,,Unique identifier,,
,discharge,double,*,,"min, m3/s","""Format:
 min,value
 min,value
Between time succesive lines values are interpolated. (note that during 1 timestep the values is still constant)
- Leave no trailing spaces or empty rows at the end of your file.
- Make sure there is no space between min,value
- In case of multiple laterals in 1 model: make sure they all have the same number of timeseries rows with exactly the same temporal interval.
- In case of multiple laterals in 1 model: also start- and end time of all timeseries must be the same.
- In QGIS it is not posible to directly type enter/newline characters into a table. To enter this format into spatialite you must either use a text editor to compose your timeseries through the field calculator using '\n' to add a new line.
- The horizontal lines should be defined from west to east
- The vertical lines should be defined from south to north",,
,type,integer,*,,,1: surface,,
v2_aggregation_settings,,,,,,Settings for aggretation that are found in the flow_aggregate.nc,,
,id,,,,,Unique identifier,,
,aggregation_in_space,boolean (in sqlite integer),*,FALSE,-,not yet implemented.,,
,aggregation_method,char(100),*,,-,"Method of aggretation, choose from: avg, min, max, cum, med, cum_negative, cum_positive, current (use 'current' only for volume and interception)",,
,flow_variable,char(100),,,-,"The name of output variable that is aggregated.
Possible flow variables: 
discharge
flow_velocity
pump_discharge
rain
waterlevel
wet_cross-section
wet_surface
lateral_discharge
volume
simple_infiltration
leakage
interception",,
,global_settings,integer,,,,"v2_global_settings scenario id. 
 If not set, the aggregation rule is applied to all models in global_settings. if set, the aggregation rule is only applied to that specific model.",,
,timestep,integer,*,,s,Timestep size for aggregation.,,
,var_name,char(100),*,,-,Mandatory Name field for flow variable name.,,
v2_channel,,,,,,"Channel lines between connection nodes. 
 All channels must have at least one cross_section_location.",,
,id,serial,*,,,Unique identifier,,
,calculation_type,integer,*,,,"100 = embedded channel
101 = stand-alone channel
102 = connected channel
105 = double connected channel
Embedded or connected can only be used where a DEM is present. Any start-, end- or calculation node along a channel with these types may not lay outside the DEM.",,
,code,text,*,,,"Name field, no constraints",,
,connection_node_end_id,integer,*,,,End node for channel line. Must be present in v2_connection_nodes and the channel geometry endpoint must be snapped on the given connection node.,,
,connection_node_start_id,integer,*,,,Start node for channel line. Must be present in v2_connection_nodes and the channel geometry startpoint must be snapped on the given connection node.,,
,display_name,text,*,,,"Name field, no constraints",,
,dist_calc_points,double,*,,m,Distance between calculation points on linesegments.,,
,zoom_category,integer,,,,Visibility in live site. 0 is lowest for smallest level (i.e. ditch) and 5 for highest (rivers),,
v2_connection_nodes,,,,,,"Location and ID of nodes between channels, pipes and structures.
Make sure that:
i) When removing a node or changing its ID, make sure the 
node is not referred to in any of the other tables,
ii) When moving a node, make sure to also move any channels 
and culverts that are snapped to the node, 
iii) make sure no node is left without any connection, and
iv) make sure that every node is connected to either a channel or is 
used as a manhole (otherwise the calculation type is unknown).",,
,id,serial,*,,,Unique identifier,,
,initial_waterlevel,double,,,m above datum (NL: NAP),"Initial water level at connection node.
 Initial waterlevel is interpolated across channel calculation nodes.",,
,storage_area,,,,m2,"Storage area, e.g. for manholes in sewerage calculations.
If a manhole is present on a connection node the storage area must be larger than zero. Note that the manhole's shape, width, and length are for administration only and do not influence the storage area used during simulation.
Storage area can also be added to a connection node without the use of a manhole.
Nodes that are not connected to channels (for instance when between 2 culverts) require a storage area larger than zero, for others storage area is derived from the channel cross section, reference level and calculation distance.",,
v2_cross_section_definition,,,,,,Table of cross-section definitions,,
,id,serial,*,,-,Unique identifier,,
,code,text,*,,,"Name field, no constraints",,
,height,text,**,,m,"For tabulated fill in space-separated heights of profile.
 All height values must be larger than zero, except for the first value
 **Mandatory for types 3, 5 & 6.",,
,shape,integer,*,,,"1 = rectangle; specify width and height (profile/upper side is not automatically closed)
2 = circle; specify width (profile/upper side is automatically closed)
3 = egg; specify only 1 width. From this 3Di creates an egg-shaped profile with heigth = 1.5*width
5 = tabulated rectangle; specify space-seperated width and height intervals. Between intervals the profile is defined straight. Can be closed by stating width 0 at heighest heigth
6 = tabulated trapezium; specify space-sperated width and height intervals. Between intervals the profile is interpolated. Can be closed by stating width 0 at heighest heigth",,
,width,text,*,,m,For tabulated fill in space-separated widths of profile. Fill in diameter for circle.,,
v2_cross_section_location,,,,,,"Location of cross-section for channels. 
 All cross-section locations must be snapped to a channel vertex. 
 May not be placed on or within 1 cm within start- or endnode.",,
,id,serial,*,,,Unique identifier,,
,bank_level,double,**,,m above datum (NL: NAP),"For connected channels only. Reference level for exchange between 1D and 2D.
 ** Mandatory when channel type is 102.",,
,channel_id,integer,*,,,"Reference to v2_channel id. 
 Channel id must match the channel on which the location lies.",,
,code,text,*,,,"Name field, no constraints",,
,definition_id,integer,*,,,"Reference to v2_cross_section_definition id.
 Must be present in v2_cross-section_definition table.",,
,friction_type,integer,*,,,"1 = Chezy !not yet implemented
2 = Manning",,
,friction_value,double,*,,"1: m1/2/s
2: s/m1/3",Friction or roughness value for profile,,
,reference_level,double,*,,m above datum (NL: NAP),Reference level or bottom level for profile.,,
v2_culvert,,,,,,"Table of culverts, connection between connection nodes",,
,id,serial,*,,,Unique identifier,,
,calculation_type,integer,*,101,,"100 = embedded channel
101 = stand-alone channel
102 = connected channel
105 = double connected channel
Embedded or connected can only be used where a DEM is present. Any start-, end- or calculation node along a channel with these types may not lay outside the DEM.",,
,code,text,*,,,"Name field, no constraints",,
,connection_node_end_id,integer,*,,,End node for culvert line. Must be present in v2_connection_nodes and the culvert geometry endpoint must be snappen on the given connection node.,,
,connection_node_start_id,integer,*,,,Start node for culvert line. Must be present in v2_connection_nodes and the culvert geometry startpoint must be snappen on the given connection node.,,
,cross_section_definition_id,integer,*,,,"Reference to v2_cross_section_definition id.
 Must be present in v2_cross-section_definition table.",,
,discharge_coefficient_negative,double,,,,Discharge coefficient for negative flow (from end to start node). Can be set to 0 when closed. This feature is enabled since the release of 26th of November 2018.,,
,discharge_coefficient_positive,double,,,,Discharge coefficient for positive flow (from start to end node). Can be set to 0 when closed. This feature is enabled since the release of 26th of November 2018.,,
,display_name,text,*,,,"Name field, no constraints",,
,dist_calc_points,double,*,,m,Distance between calculation points on linesegments.,,
,friction_type,integer,*,,,"Friction type
 1 = Chezy (not yet implemented)
 2 = Manning",,
,friction_value,double,*,,"1: m1/2/s
 2: s/m1/3",Friction or roughness value for profile,,
